map,scenario,agents,connectivity,flowtime,runtime
den520d_random,den520d-random-1,10,2,1968.0,0.0613269
den520d_random,den520d-random-1,10,3,1631.17,0.0734082
den520d_random,den520d-random-1,10,4,1566.68,0.0625948
den520d_random,den520d-random-1,10,5,1553.79,0.103242
den520d_random,den520d-random-1,11,2,2332.0,0.114621
den520d_random,den520d-random-1,11,3,1936.59,0.620308
den520d_random,den520d-random-1,11,4,1856.78,2.16334
den520d_random,den520d-random-1,12,2,2667.0,0.149559
den520d_random,den520d-random-1,12,4,2107.72,2.19711
den520d_random,den520d-random-1,13,2,2825.0,0.163617
den520d_random,den520d-random-1,14,2,2942.0,0.22494
den520d_random,den520d-random-1,15,2,3073.0,0.229469
den520d_random,den520d-random-1,16,2,3242.0,0.242622
den520d_random,den520d-random-1,17,2,3327.0,0.241734
den520d_random,den520d-random-1,18,2,3472.0,0.261774
den520d_random,den520d-random-1,19,2,3596.0,0.330741
den520d_random,den520d-random-1,2,2,313.0,0.000996907
den520d_random,den520d-random-1,2,3,264.38,0.000700154
den520d_random,den520d-random-1,2,4,257.254,0.00196712
den520d_random,den520d-random-1,2,5,255.914,0.0022825
den520d_random,den520d-random-1,20,2,3685.0,0.305184
den520d_random,den520d-random-1,21,2,3838.0,0.307308
den520d_random,den520d-random-1,22,2,3958.0,0.355145
den520d_random,den520d-random-1,23,2,4051.0,0.360459
den520d_random,den520d-random-1,24,2,4263.0,0.348277
den520d_random,den520d-random-1,25,2,4450.0,0.363744
den520d_random,den520d-random-1,26,2,4603.0,0.371482
den520d_random,den520d-random-1,27,2,4795.0,0.407428
den520d_random,den520d-random-1,28,2,5010.0,0.469081
den520d_random,den520d-random-1,29,2,5057.0,0.586619
den520d_random,den520d-random-1,3,2,351.0,0.00108664
den520d_random,den520d-random-1,3,3,292.421,0.000750749
den520d_random,den520d-random-1,3,4,284.583,0.00135119
den520d_random,den520d-random-1,3,5,283.064,0.0023195
den520d_random,den520d-random-1,30,2,5173.0,0.514755
den520d_random,den520d-random-1,31,2,5206.0,0.508537
den520d_random,den520d-random-1,32,2,5409.0,0.548505
den520d_random,den520d-random-1,33,2,5647.0,0.591876
den520d_random,den520d-random-1,34,2,5821.0,0.651569
den520d_random,den520d-random-1,35,2,6018.0,0.778943
den520d_random,den520d-random-1,36,2,6216.0,0.80871
den520d_random,den520d-random-1,37,2,6462.0,0.887178
den520d_random,den520d-random-1,38,2,6464.0,0.942412
den520d_random,den520d-random-1,39,2,6471.0,0.979824
den520d_random,den520d-random-1,4,2,527.0,0.00144502
den520d_random,den520d-random-1,4,3,436.789,0.00107229
den520d_random,den520d-random-1,4,4,421.112,0.00196747
den520d_random,den520d-random-1,4,5,417.688,0.00365321
den520d_random,den520d-random-1,40,2,6793.0,0.797493
den520d_random,den520d-random-1,41,2,7122.0,1.08255
den520d_random,den520d-random-1,42,2,7401.0,1.75327
den520d_random,den520d-random-1,43,2,7533.0,1.38238
den520d_random,den520d-random-1,44,2,7737.0,1.66819
den520d_random,den520d-random-1,45,2,7798.0,1.78946
den520d_random,den520d-random-1,46,2,7862.0,1.77897
den520d_random,den520d-random-1,47,2,7908.0,1.08433
den520d_random,den520d-random-1,48,2,7922.0,1.76454
den520d_random,den520d-random-1,5,2,735.0,0.00202675
den520d_random,den520d-random-1,5,3,613.156,0.00141132
den520d_random,den520d-random-1,5,4,589.641,0.00456566
den520d_random,den520d-random-1,5,5,585.225,0.00552109
den520d_random,den520d-random-1,6,2,1130.0,0.0374051
den520d_random,den520d-random-1,6,3,941.963,0.00430316
den520d_random,den520d-random-1,6,4,902.058,0.00562583
den520d_random,den520d-random-1,6,5,893.934,0.0104286
den520d_random,den520d-random-1,7,2,1381.0,0.0444378
den520d_random,den520d-random-1,7,3,1143.76,0.00324963
den520d_random,den520d-random-1,7,4,1094.77,0.0101773
den520d_random,den520d-random-1,7,5,1085.1,0.0119349
den520d_random,den520d-random-1,8,2,1458.0,0.0449492
den520d_random,den520d-random-1,8,3,1214.9,0.00505213
den520d_random,den520d-random-1,8,4,1164.13,0.010803
den520d_random,den520d-random-1,8,5,1153.72,0.0126328
den520d_random,den520d-random-1,9,2,1754.0,0.0460691
den520d_random,den520d-random-1,9,3,1442.95,0.0412231
